F,P0,D0,P1,D1,P2,D2,P3,D3,P4,D4,P5,D5,P6,D6,P7,D7,P8,D8
1,0,0,6,10,8.5,14,14.12,28,20.9,42,26.29,56,28.2,64,29.14,70,29.71,72
2,0,0,5.87,10,9,15,15.63,28,21,42,25,55,29.5,69,32.2,82,33.2,90
3,0,0,3.5,10,5.45,16,8.12,29,12.77,42,17.48,55,22.41,68,24.55,81,27.112,90
4,0,0,3.5,10,5.45,16,8.89,29,12.4,41,16.65,54,20.564,66,23.554,79,27.156,90
5,0,0,5.2,10,9.8,17,15,29,22.9,41,25.5,53,27.88,65,29.3,77,33,90
6,0,0,3.5,10,6.22,17,9.14,29,12.56,41,16.45,52,19.55,64,21.4,76,26.56,88
7,0,0,3.5,10,5.56,18,9.16,29,11.56,40,16.77,52,19.45,63,22.4,74,25.99,86
8,0,0,3.5,10,5.56,18,9.15,29,11.78,40,15.55,51,19.12,62,21.5,73,25.4,84
9,0,0,3.5,10,5.25,19,9.15,29,11.78,40,14.44,50,18.55,61,20.78,71,24.54,82
10,0,0,6,10,11.56,20,16.32,30,21.05,40,24.39,50,26.78,60,29.55,70,31.9,80
11,0,0,3.5,10,6.41,19,9.56,29,11.569,39,14.55,49,18.41,59,20.1,69,23.45,79
12,0,0,4.2,11,6.2,20,8.77,29,10.99,39,12.55,48,18.12,58,19.45,67,23.451,77
13,0,0,4.2,12,7.01,21,9.56,30,10.56,39,14.88,48,18.12,57,19.445,66,22.45,75
14,0,0,5.2,13,7.1,21,7.55,30,10.45,38,14.88,47,17.99,55,18.44,64,22.47,73
15,0,0,8.02,14,13,22,16.89,30,18,38,23,46,25.02,54,27.9,62,31.49,82
16,0,0,5.01,15,7.33,22,7.36,30,10.45,38,13.14,45,17.4,53,18.12,61,20.4849,69
17,0,0,5.45,16,7.89,23,7.9,30,10.78,37,13.52,45,17.151,52,17.66,59,19.548,67
18,0,0,6.01,17,8.12,23,8.14,30,12.11,37,13.74,44,16.151,51,17.55,58,19.12,65
19,0,0,5.56,18,7.45,24,7.5,30,10.14,37,13.2,43,15.45,50,16.61,56,19.05,63
20,0,0,10,19,12.5,25,16.5,31,19.7,37,21.9,43,24.23,49,26.03,55,32.15,80
21,0,0,6.66,19,7.5,24,8.45,30,9.1,36,11.6,42,13.45,48,16.44,54,18.14,60
22,0,0,6.84,20,7.45,25,8.99,30,9.56,36,12.5,41,12.9,47,13.9,52,18.66,58
23,0,0,6.89,21,7.45,26,9.41,31,10.05,36,10.98,41,11.55,46,12.99,51,14.99,56
24,0,0,7.25,22,7.5,26,9.15,31,10.45,35,12.5,40,12.75,44,13.89,49,15.6,54
25,0,0,7.41,23,9.81,27,10.05,31,10.12,35,11.52,39,12.45,43,13.78,47,15.05,52
